Customer_ID,Transaction_History,Login_Activity,Purchase_Frequency,Last_Purchase_Date,Churn_Status
CUST_00102,33,25,37,8/18/2023 12:02,1
CUST_00103,17,18,19,2/2/2025 12:02,0
CUST_00104,48,21,10,9/21/2024 12:02,0
CUST_00105,11,4,47,10/23/2023 12:02,1
CUST_00106,13,29,31,8/9/2023 12:02,1
CUST_00107,50,19,1,11/17/2023 12:02,0
CUST_00108,11,5,17,10/23/2023 12:02,0
CUST_00109,31,14,10,9/25/2023 12:02,1
CUST_00110,28,23,36,10/17/2024 12:02,1
CUST_00111,44,13,21,11/4/2024 12:02,0
CUST_00112,6,27,17,3/7/2023 12:02,0
CUST_00113,41,19,42,10/7/2024 12:02,0
CUST_00114,16,19,44,11/4/2024 12:02,0
CUST_00115,4,16,43,4/29/2023 12:02,1
CUST_00116,35,30,3,5/20/2024 12:02,0
CUST_00117,48,22,51,3/27/2024 12:02,0
CUST_00118,26,21,50,7/11/2024 12:02,0
CUST_00119,12,19,22,11/16/2024 12:02,1
CUST_00120,11,1,30,11/10/2023 12:02,1
CUST_00121,37,10,50,8/14/2023 12:02,0
CUST_00122,25,2,36,2/23/2024 12:02,0
CUST_00123,18,15,5,3/27/2023 12:02,0
CUST_00124,19,19,3,3/26/2023 12:02,1
CUST_00125,23,4,1,1/31/2024 12:02,1
CUST_00126,38,21,17,10/7/2023 12:02,1
CUST_00127,18,26,49,5/7/2023 12:02,1
CUST_00128,26,30,54,9/25/2024 12:02,0
CUST_00129,6,30,52,8/9/2024 12:02,0
CUST_00130,4,25,22,12/18/2023 12:02,0
CUST_00131,44,4,27,6/9/2023 12:02,1
CUST_00132,29,12,33,10/17/2023 12:02,0
CUST_00133,34,25,21,11/9/2023 12:02,1
CUST_00134,17,21,1,12/5/2024 12:02,0
CUST_00135,43,29,4,1/11/2024 12:02,0
CUST_00136,43,19,41,7/5/2024 12:02,1
CUST_00137,16,23,6,5/7/2024 12:02,0
CUST_00138,2,24,28,2/5/2025 12:02,0
CUST_00139,34,9,12,10/28/2023 12:02,0
CUST_00140,8,25,45,3/30/2023 12:02,0
CUST_00141,13,22,52,11/23/2023 12:02,0
CUST_00142,42,16,58,11/15/2023 12:02,1
CUST_00143,8,15,23,9/15/2023 12:02,0
CUST_00144,30,9,43,12/13/2023 12:02,1
CUST_00145,32,19,12,8/4/2023 12:02,0
CUST_00146,36,18,42,8/26/2024 12:02,0
CUST_00147,47,21,48,7/18/2024 12:02,0
CUST_00148,30,7,58,1/20/2024 12:02,0
CUST_00149,1,27,49,8/25/2023 12:02,0
CUST_00150,43,16,45,2/7/2025 12:02,0
CUST_00151,39,15,33,9/9/2023 12:02,1
CUST_00152,17,23,21,2/9/2025 12:02,0
CUST_00153,20,11,55,5/12/2024 12:02,0
CUST_00154,24,6,41,2/7/2025 12:02,1
CUST_00155,50,3,57,7/15/2023 12:02,1
CUST_00156,22,14,58,9/20/2023 12:02,1
CUST_00157,29,6,40,1/7/2025 12:02,0
CUST_00158,22,17,27,3/25/2023 12:02,0
CUST_00159,44,19,50,11/26/2024 12:02,1
CUST_00160,9,18,32,7/31/2023 12:02,1
CUST_00161,37,20,1,12/28/2023 12:02,0
CUST_00162,10,16,32,4/12/2023 12:02,0
CUST_00163,36,24,3,1/6/2025 12:02,0
CUST_00164,37,3,33,6/29/2024 12:02,1
CUST_00165,28,6,1,5/23/2024 12:02,1
CUST_00166,28,26,24,7/27/2024 12:02,0
CUST_00167,42,30,19,6/23/2023 12:02,0
CUST_00168,43,17,18,9/17/2023 12:02,0
CUST_00169,21,20,32,5/19/2024 12:02,0
CUST_00170,24,5,44,1/6/2025 12:02,0
CUST_00171,42,21,6,6/6/2024 12:02,0
CUST_00172,40,16,17,3/24/2023 12:02,1
CUST_00173,2,17,12,8/30/2024 12:02,1
CUST_00174,8,16,34,1/7/2025 12:02,0
CUST_00175,48,25,36,9/27/2024 12:02,0
CUST_00176,27,21,39,1/5/2025 12:02,0
CUST_00177,22,9,2,12/30/2024 12:02,0
CUST_00178,37,7,20,9/11/2024 12:02,0
CUST_00179,27,5,20,7/17/2024 12:02,0
CUST_00180,29,9,56,10/17/2024 12:02,0
CUST_00181,3,21,47,3/6/2024 12:02,0
CUST_00182,44,10,39,7/31/2023 12:02,0
CUST_00183,13,25,55,9/9/2024 12:02,1
CUST_00184,45,21,57,6/25/2024 12:02,0
CUST_00185,10,1,51,3/29/2023 12:02,1
CUST_00186,36,7,32,4/2/2024 12:02,0
CUST_00187,9,21,3,9/11/2024 12:02,0
CUST_00188,27,5,26,4/26/2023 12:02,1
CUST_00189,34,6,41,6/8/2023 12:02,0
CUST_00190,1,6,12,5/4/2024 12:02,0
CUST_00191,32,23,50,8/28/2024 12:02,0
CUST_00192,25,28,3,4/6/2024 12:02,0
CUST_00193,29,15,28,1/26/2024 12:02,0
CUST_00194,7,8,9,8/31/2023 12:02,1
CUST_00195,49,1,26,3/16/2023 12:02,1
CUST_00196,3,10,6,11/14/2024 12:02,0
CUST_00197,20,27,5,12/20/2023 12:02,0
CUST_00198,20,3,9,8/9/2023 12:02,1
CUST_00199,30,22,55,5/6/2024 12:02,0
CUST_00200,35,16,46,12/13/2024 12:02,0
CUST_00201,35,1,34,11/9/2023 12:02,1
CUST_00202,49,16,28,12/24/2023 12:02,1
CUST_00203,39,14,26,9/24/2024 12:02,0
CUST_00204,27,5,57,9/5/2023 12:02,0
CUST_00205,26,16,59,8/18/2024 12:02,0
CUST_00206,14,21,54,4/21/2023 12:02,0
CUST_00207,17,26,35,1/8/2025 12:02,0
CUST_00208,18,25,1,3/11/2023 12:02,1
CUST_00209,45,11,4,4/11/2024 12:02,0
CUST_00210,29,18,59,3/22/2023 12:02,1
CUST_00211,20,7,13,3/28/2023 12:02,0
CUST_00212,27,25,40,7/1/2024 12:02,0
CUST_00213,18,8,53,10/19/2024 12:02,0
CUST_00214,4,17,21,6/17/2024 12:02,0
CUST_00215,1,30,18,1/5/2024 12:02,0
CUST_00216,50,14,20,11/24/2023 12:02,1
CUST_00217,1,17,4,6/2/2024 12:02,1
CUST_00218,26,12,32,3/14/2024 12:02,0
CUST_00219,45,18,27,2/18/2024 12:02,0
CUST_00220,20,1,25,11/15/2023 12:02,0
CUST_00221,23,24,7,6/17/2024 12:02,0
CUST_00222,10,7,45,2/4/2024 12:02,0
CUST_00223,11,6,30,10/30/2024 12:02,0
CUST_00224,41,15,23,1/20/2025 12:02,0
CUST_00225,41,18,29,6/30/2024 12:02,0
CUST_00226,5,11,57,8/27/2023 12:02,0
CUST_00227,1,25,57,12/25/2023 12:02,0
CUST_00228,17,29,21,6/23/2023 12:02,1
CUST_00229,22,17,33,6/2/2023 12:02,0
CUST_00230,34,1,18,6/21/2023 12:02,1
CUST_00231,45,2,27,6/3/2023 12:02,0
CUST_00232,41,7,14,7/5/2023 12:02,1
CUST_00233,29,10,40,10/23/2023 12:02,1
CUST_00234,4,14,54,4/29/2024 12:02,1
CUST_00235,5,12,31,4/7/2024 12:02,0
CUST_00236,11,17,42,2/9/2024 12:02,0
CUST_00237,21,14,8,9/29/2024 12:02,0
CUST_00238,35,19,3,9/26/2023 12:02,0
CUST_00239,12,10,35,11/29/2023 12:02,0
CUST_00240,26,24,38,1/24/2024 12:02,0
CUST_00241,19,12,11,4/23/2024 12:02,0
CUST_00242,45,7,36,2/9/2025 12:02,0
CUST_00243,7,8,52,7/3/2023 12:02,1
CUST_00244,47,29,48,2/28/2023 12:02,0
CUST_00245,7,13,43,1/2/2025 12:02,0
CUST_00246,26,28,52,6/23/2023 12:02,0
CUST_00247,40,6,34,8/2/2024 12:02,0
CUST_00248,5,8,23,4/9/2024 12:02,1
CUST_00249,21,5,5,8/3/2023 12:02,1
CUST_00250,14,9,30,1/6/2024 12:02,0
CUST_00251,4,26,37,1/8/2024 12:02,0
CUST_00252,23,11,16,9/30/2023 12:02,0
CUST_00253,42,13,14,10/21/2024 12:02,0
CUST_00254,20,1,7,10/21/2023 12:02,0
CUST_00255,15,7,53,5/22/2023 12:02,0
CUST_00256,50,6,33,8/14/2024 12:02,1
CUST_00257,45,8,2,5/16/2023 12:02,1
CUST_00258,29,2,46,3/5/2024 12:02,1
CUST_00259,8,17,5,9/20/2023 12:02,0
CUST_00260,41,17,45,10/8/2023 12:02,1
CUST_00261,48,30,45,7/26/2023 12:02,1
CUST_00262,19,18,39,1/31/2025 12:02,0
CUST_00263,48,21,60,8/1/2024 12:02,0
CUST_00264,39,7,15,9/11/2024 12:02,1
CUST_00265,46,15,60,9/22/2023 12:02,0
CUST_00266,28,13,42,3/29/2023 12:02,1
CUST_00267,46,25,2,4/25/2024 12:02,0
CUST_00268,27,20,24,6/8/2024 12:02,0
CUST_00269,4,29,29,1/12/2025 12:02,0
CUST_00270,15,25,29,11/28/2023 12:02,0
CUST_00271,35,14,21,12/25/2023 12:02,0
CUST_00272,37,27,25,11/2/2024 12:02,0
CUST_00273,1,15,22,1/3/2025 12:02,0
CUST_00274,3,3,19,7/21/2024 12:02,0
CUST_00275,47,28,60,7/9/2024 12:02,0
CUST_00276,24,6,13,10/16/2024 12:02,0
CUST_00277,27,9,38,12/14/2024 12:02,0
CUST_00278,40,27,57,12/27/2024 12:02,0
CUST_00279,36,14,33,12/14/2024 12:02,0
CUST_00280,34,29,33,1/2/2025 12:02,0
CUST_00281,29,16,56,9/28/2024 12:02,0
CUST_00282,24,17,12,4/25/2023 12:02,0
CUST_00283,24,12,46,4/12/2024 12:02,0
CUST_00284,42,4,23,11/28/2023 12:02,1
CUST_00285,4,5,59,10/26/2023 12:02,0
CUST_00286,3,11,29,4/29/2024 12:02,0
CUST_00287,34,22,29,3/16/2023 12:02,0
CUST_00288,49,11,43,2/13/2024 12:02,0
CUST_00289,23,8,60,8/26/2024 12:02,0
CUST_00290,23,28,1,8/31/2023 12:02,0
CUST_00291,45,18,24,8/31/2023 12:02,1
CUST_00292,5,6,5,5/26/2023 12:02,1
CUST_00293,31,7,57,11/14/2024 12:02,0
CUST_00294,41,6,35,1/20/2024 12:02,0
CUST_00295,6,14,45,6/4/2024 12:02,0
CUST_00296,37,20,5,10/19/2024 12:02,0
CUST_00297,10,6,13,7/8/2023 12:02,1
CUST_00298,40,4,32,9/7/2023 12:02,1
CUST_00299,7,25,55,12/28/2023 12:02,1
CUST_00300,39,13,42,6/5/2023 12:02,0
CUST_00301,38,17,27,12/23/2023 12:02,0
CUST_00302,21,12,24,9/14/2023 12:02,1
CUST_00303,20,9,3,6/18/2023 12:02,1
CUST_00304,3,27,1,11/29/2024 12:02,0
CUST_00305,22,20,60,12/13/2023 12:02,0
CUST_00306,47,3,29,11/5/2023 12:02,1
CUST_00307,4,11,45,8/16/2024 12:02,0
CUST_00308,28,5,22,4/2/2024 12:02,0
CUST_00309,12,3,5,12/9/2023 12:02,0
CUST_00310,38,17,43,9/15/2024 12:02,0
CUST_00311,36,24,21,1/4/2024 12:02,0
CUST_00312,47,9,59,9/11/2024 12:02,0
CUST_00313,41,6,12,7/30/2023 12:02,0
CUST_00314,5,18,28,9/19/2024 12:02,0
CUST_00315,13,29,11,11/17/2023 12:02,0
CUST_00316,23,6,15,9/8/2023 12:02,0
CUST_00317,50,6,38,5/15/2024 12:02,0
CUST_00318,30,22,35,5/19/2024 12:02,0
CUST_00319,37,10,48,4/26/2023 12:02,0
CUST_00320,25,11,45,3/7/2024 12:02,1
CUST_00321,48,14,16,4/20/2023 12:02,1
CUST_00322,27,12,37,1/5/2025 12:02,0
CUST_00323,14,25,15,8/21/2024 12:02,0
CUST_00324,48,20,32,12/1/2023 12:02,0
CUST_00325,47,18,58,4/23/2024 12:02,0
CUST_00326,36,24,59,12/13/2023 12:02,1
CUST_00327,39,22,16,9/14/2023 12:02,0
CUST_00328,16,15,33,1/28/2024 12:02,0
CUST_00329,22,10,40,8/14/2024 12:02,0
CUST_00330,21,1,57,1/18/2024 12:02,0
CUST_00331,21,15,20,12/24/2024 12:02,0
CUST_00332,8,22,37,12/11/2023 12:02,0
CUST_00333,49,2,39,4/22/2023 12:02,1
CUST_00334,16,20,32,9/27/2023 12:02,0
CUST_00335,31,2,10,1/16/2025 12:02,1
CUST_00336,42,4,16,7/18/2023 12:02,1
CUST_00337,10,23,5,3/25/2024 12:02,1
CUST_00338,32,24,20,12/28/2024 12:02,0
CUST_00339,34,14,56,5/14/2023 12:02,0
CUST_00340,9,19,27,11/7/2024 12:02,1
CUST_00341,17,14,43,12/20/2024 12:02,0
CUST_00342,11,13,60,2/14/2024 12:02,1
CUST_00343,32,1,54,5/21/2023 12:02,1
CUST_00344,10,10,50,2/10/2025 12:02,0
CUST_00345,22,14,59,11/21/2024 12:02,0
CUST_00346,17,17,20,8/17/2023 12:02,0
CUST_00347,4,26,13,4/12/2023 12:02,0
CUST_00348,48,16,19,12/30/2023 12:02,0
CUST_00349,47,15,44,11/2/2023 12:02,0
CUST_00350,25,11,50,5/24/2024 12:02,0
CUST_00351,21,23,15,7/10/2023 12:02,1
CUST_00352,37,12,38,6/7/2023 12:02,1
CUST_00353,38,1,27,11/27/2023 12:02,1
CUST_00354,49,3,42,8/11/2024 12:02,0
CUST_00355,1,11,17,3/3/2023 12:02,1
CUST_00356,25,21,10,9/9/2023 12:02,0
CUST_00357,36,11,36,7/4/2024 12:02,0
CUST_00358,17,5,40,1/24/2024 12:02,0
CUST_00359,41,15,5,9/14/2024 12:02,1
CUST_00360,24,27,51,10/8/2024 12:02,0
CUST_00361,2,20,50,5/17/2023 12:02,0
CUST_00362,40,24,48,12/5/2023 12:02,1
CUST_00363,15,16,27,11/17/2024 12:02,0
CUST_00364,32,3,59,10/28/2024 12:02,1
CUST_00365,39,8,54,11/7/2024 12:02,0
CUST_00366,6,16,28,9/29/2024 12:02,0
CUST_00367,1,16,4,12/25/2023 12:02,0
CUST_00368,47,22,7,7/17/2023 12:02,0
CUST_00369,23,4,8,3/17/2023 12:02,1
CUST_00370,39,26,15,11/4/2023 12:02,0
CUST_00371,17,27,41,12/28/2024 12:02,0
CUST_00372,34,15,29,3/19/2024 12:02,0
CUST_00373,41,19,39,11/14/2024 12:02,0
CUST_00374,29,26,9,3/24/2024 12:02,0
CUST_00375,9,15,20,10/23/2024 12:02,0
CUST_00376,13,13,1,6/13/2023 12:02,1
CUST_00377,6,28,7,7/4/2023 12:02,0
CUST_00378,6,10,34,9/27/2023 12:02,0
CUST_00379,20,2,47,10/22/2023 12:02,1
CUST_00380,3,6,10,7/21/2024 12:02,0
CUST_00381,17,17,59,1/28/2025 12:02,0
CUST_00382,49,26,41,9/14/2023 12:02,0
CUST_00383,12,8,48,6/18/2024 12:02,0
CUST_00384,48,16,6,3/7/2023 12:02,0
CUST_00385,47,29,25,6/22/2024 12:02,0
CUST_00386,45,21,12,2/25/2024 12:02,0
CUST_00387,1,13,40,12/27/2023 12:02,0
CUST_00388,17,23,41,1/1/2025 12:02,1
CUST_00389,3,28,39,6/1/2023 12:02,1
CUST_00390,26,12,14,3/27/2024 12:02,0
CUST_00391,15,16,11,4/10/2023 12:02,1
CUST_00392,36,7,12,3/5/2023 12:02,1
CUST_00393,32,27,19,5/8/2024 12:02,0
CUST_00394,32,10,42,11/29/2024 12:02,1
CUST_00395,4,6,28,10/8/2023 12:02,0
CUST_00396,18,5,53,1/25/2025 12:02,0
CUST_00397,49,18,19,11/20/2023 12:02,0
CUST_00398,19,16,29,2/27/2023 12:02,0
CUST_00399,43,3,45,4/20/2024 12:02,0
CUST_00400,35,3,35,5/31/2024 12:02,0
CUST_00401,40,5,23,1/15/2024 12:02,0
CUST_00402,14,2,60,9/17/2024 12:02,1
CUST_00403,33,27,16,3/30/2024 12:02,0
CUST_00404,14,1,54,5/3/2024 12:02,1
CUST_00405,34,4,37,7/22/2024 12:02,0
CUST_00406,4,10,60,3/23/2023 12:02,1
CUST_00407,24,13,21,12/1/2023 12:02,0
CUST_00408,29,3,59,5/8/2024 12:02,0
CUST_00409,19,11,40,6/10/2023 12:02,0
CUST_00410,6,3,1,9/30/2024 12:02,1
CUST_00411,33,28,46,8/10/2024 12:02,0
CUST_00412,49,10,52,7/6/2024 12:02,0
CUST_00413,40,27,37,4/14/2023 12:02,0
CUST_00414,19,22,25,12/14/2023 12:02,0
CUST_00415,1,28,16,11/9/2023 12:02,1
CUST_00416,5,9,33,11/9/2023 12:02,0
CUST_00417,27,26,25,4/29/2023 12:02,1
CUST_00418,16,29,22,10/11/2023 12:02,0
CUST_00419,6,10,3,8/14/2024 12:02,1
CUST_00420,40,27,3,6/30/2024 12:02,0
CUST_00421,13,13,11,1/21/2024 12:02,0
CUST_00422,48,30,43,7/7/2023 12:02,1
CUST_00423,35,18,52,1/26/2024 12:02,0
CUST_00424,19,21,5,9/27/2024 12:02,0
CUST_00425,12,18,44,7/2/2024 12:02,1
CUST_00426,16,22,25,4/29/2024 12:02,0
CUST_00427,43,17,38,2/18/2024 12:02,0
CUST_00428,10,17,53,4/13/2024 12:02,0
CUST_00429,25,25,16,12/28/2023 12:02,1
CUST_00430,20,26,32,1/22/2025 12:02,0
CUST_00431,31,5,29,5/20/2023 12:02,0
CUST_00432,4,9,6,4/10/2024 12:02,1
CUST_00433,44,12,22,8/17/2023 12:02,1
CUST_00434,23,12,9,9/14/2023 12:02,0
CUST_00435,2,24,10,1/28/2025 12:02,0
CUST_00436,22,25,55,6/2/2024 12:02,0
CUST_00437,37,25,14,6/20/2024 12:02,0
CUST_00438,8,24,47,6/16/2023 12:02,1
CUST_00439,7,19,39,4/11/2024 12:02,0
CUST_00440,14,7,20,5/19/2023 12:02,1
CUST_00441,3,20,5,12/30/2024 12:02,0
CUST_00442,50,24,7,10/27/2024 12:02,0
CUST_00443,16,23,40,4/21/2023 12:02,1
CUST_00444,19,12,54,5/5/2023 12:02,1
CUST_00445,18,9,56,7/15/2023 12:02,0
CUST_00446,16,8,14,12/13/2023 12:02,0
CUST_00447,8,30,57,2/1/2025 12:02,0
CUST_00448,33,19,15,5/14/2023 12:02,0
CUST_00449,49,21,17,8/15/2024 12:02,0
CUST_00450,12,3,20,4/20/2024 12:02,0
CUST_00451,11,11,16,1/24/2025 12:02,0
CUST_00452,5,12,41,8/20/2024 12:02,0
CUST_00453,27,25,21,5/31/2024 12:02,0
CUST_00454,12,17,11,11/21/2024 12:02,0
CUST_00455,17,7,4,1/22/2025 12:02,0
CUST_00456,6,25,25,3/24/2023 12:02,1
CUST_00457,33,3,2,10/2/2023 12:02,1
CUST_00458,5,7,2,10/17/2023 12:02,1
CUST_00459,28,7,27,11/16/2024 12:02,0
CUST_00460,14,27,31,9/19/2024 12:02,0
CUST_00461,5,14,47,5/14/2023 12:02,1
CUST_00462,33,2,8,5/13/2024 12:02,1
CUST_00463,50,16,48,5/27/2023 12:02,0
CUST_00464,48,21,8,7/31/2024 12:02,0
CUST_00465,41,10,5,7/30/2024 12:02,0
CUST_00466,19,14,22,5/31/2023 12:02,0
CUST_00467,22,29,43,2/14/2023 12:02,0
CUST_00468,5,7,5,7/28/2024 12:02,0
CUST_00469,2,2,40,9/5/2023 12:02,1
CUST_00470,30,26,48,5/18/2024 12:02,1
CUST_00471,47,10,6,9/21/2024 12:02,0
CUST_00472,39,2,38,6/4/2023 12:02,1
CUST_00473,4,27,7,9/21/2024 12:02,0
CUST_00474,33,13,18,4/5/2023 12:02,1
CUST_00475,13,22,25,2/21/2024 12:02,0
CUST_00476,20,2,3,1/8/2024 12:02,1
CUST_00477,7,10,25,12/2/2023 12:02,1
CUST_00478,15,14,58,1/11/2024 12:02,1
CUST_00479,23,17,21,6/21/2023 12:02,1
CUST_00480,14,19,31,10/28/2024 12:02,1
CUST_00481,23,12,46,1/17/2024 12:02,1
CUST_00482,19,17,49,11/28/2023 12:02,0
CUST_00483,29,6,42,4/6/2023 12:02,1
CUST_00484,20,4,16,5/10/2023 12:02,0
CUST_00485,29,2,52,10/12/2024 12:02,0
CUST_00486,24,29,22,7/24/2023 12:02,0
CUST_00487,18,15,51,12/7/2024 12:02,0
CUST_00488,10,28,29,7/11/2024 12:02,0
CUST_00489,41,23,12,4/27/2024 12:02,0
CUST_00490,8,23,54,5/19/2023 12:02,0
CUST_00491,26,24,46,12/29/2023 12:02,0
CUST_00492,29,16,43,3/18/2023 12:02,1
CUST_00493,10,12,1,7/4/2023 12:02,0
CUST_00494,17,28,26,2/3/2025 12:02,0
CUST_00495,2,7,10,8/15/2024 12:02,1
CUST_00496,6,13,25,12/18/2023 12:02,0
CUST_00497,5,1,25,2/14/2024 12:02,1
CUST_00498,28,19,43,8/2/2024 12:02,1
CUST_00499,41,13,4,8/8/2024 12:02,0
CUST_00500,5,1,18,5/24/2023 12:02,1
CUST_00501,18,2,60,12/21/2023 12:02,1
CUST_00502,26,1,43,1/5/2024 12:02,1
CUST_00503,20,12,8,4/13/2024 12:02,0
CUST_00504,41,25,7,4/3/2024 12:02,0
CUST_00505,49,23,17,4/18/2024 12:02,1
CUST_00506,27,25,6,5/21/2024 12:02,0
CUST_00507,49,24,42,6/1/2024 12:02,0
CUST_00508,12,10,44,4/10/2023 12:02,1
CUST_00509,7,2,21,7/6/2024 12:02,1
CUST_00510,3,1,2,2/1/2025 12:02,0
CUST_00511,10,5,13,5/10/2024 12:02,1
CUST_00512,34,23,32,5/30/2024 12:02,0
CUST_00513,25,2,13,11/22/2023 12:02,0
CUST_00514,35,4,29,6/22/2024 12:02,0
CUST_00515,16,23,5,4/28/2023 12:02,0
CUST_00516,2,29,54,10/3/2023 12:02,0
CUST_00517,24,14,26,8/19/2023 12:02,0
CUST_00518,10,9,38,8/19/2023 12:02,0
CUST_00519,38,6,32,9/18/2023 12:02,1
CUST_00520,22,23,48,2/20/2024 12:02,1
CUST_00521,26,24,18,2/25/2023 12:02,1
CUST_00522,43,12,17,6/20/2023 12:02,0
CUST_00523,39,12,20,12/12/2024 12:02,1
CUST_00524,27,24,15,4/21/2023 12:02,0
CUST_00525,29,29,60,7/6/2024 12:02,1
CUST_00526,47,9,15,11/23/2023 12:02,0
CUST_00527,38,28,47,8/22/2024 12:02,1
CUST_00528,20,30,4,12/19/2024 12:02,0
CUST_00529,27,15,9,9/3/2023 12:02,1
CUST_00530,41,30,44,10/6/2023 12:02,1
CUST_00531,20,10,46,8/24/2024 12:02,0
CUST_00532,44,2,33,5/4/2023 12:02,1
CUST_00533,19,29,59,3/6/2024 12:02,0
CUST_00534,20,23,10,2/18/2023 12:02,1
